,Step,Value_train,Value_val
0,127,-0.0149886226281523,0.233318880200386
1,255,-0.2390587627887725,-0.3854016065597534
2,383,0.094047874212265,1.248734474182129
3,511,-0.334136962890625,5.304322242736816
4,639,-0.4689646065235138,-0.2467268109321594
5,767,-0.554394543170929,0.9129052758216858
6,895,-0.5799635052680969,-1.0355348587036133
7,1023,-0.2107656598091125,-0.9312313199043274
8,1151,-0.2820819318294525,-0.1047154068946838
9,1279,-0.6003289222717285,0.7337853908538818
10,1407,-0.5232658386230469,-0.945210874080658
11,1535,-0.6975021362304688,1.925003290176392
12,1663,-0.6600356101989746,-0.9294579029083252
13,1791,-0.5717839002609253,-0.5948083400726318
14,1919,-0.736766517162323,-0.3035403192043304
15,2047,-0.8960396647453308,-0.2571164071559906
16,2175,-0.7637170553207397,-0.9995483756065368
