Epoch,train_loss,val_loss
0,0.005773970857,0.005576141644
1,0.004053066019,0.003524350934
2,0.002121526282,0.002603607951
3,0.002431382192,0.002403620165
4,0.002214615932,0.002511959057
5,0.001947348705,0.003108987585
6,0.002052462427,0.002537885215
7,0.002338542836,0.00228927983
8,0.00186404516,0.002494201995
9,0.002157664625,0.002317504026
10,0.00231930986,0.002337396378
11,0.001359956106,0.002245690208
12,0.002206510864,0.002367146546
13,0.0021280488,0.002127524698
14,0.001734543825,0.002293738537
15,0.001827721484,0.002109359484
16,0.002038932405,0.002243541181
17,0.001390464138,0.002163665835
18,0.002075440949,0.002500010421
19,0.001546811312,0.002373552416
