,Step,Value_train,Value_val
0,127,0.6997621655464172,0.387758731842041
1,255,0.3757117986679077,0.1632602661848068
2,383,0.7623618841171265,-0.5926873087882996
3,511,-0.1286274641752243,-0.7852810621261597
4,639,0.0700147673487663,-0.2617209553718567
5,767,-0.1911336779594421,-0.2095743119716644
6,895,-0.3293242454528808,-0.6092750430107117
7,1023,-0.371792733669281,-0.2977432906627655
8,1151,-0.5192694067955017,-0.0628792494535446
9,1279,-0.2802596390247345,-0.3114510178565979
10,1407,-0.5283586382865906,-0.6533676385879517
11,1535,-0.3573858439922333,-0.6602134108543396
12,1663,-0.2762094140052795,0.3929663300514221
13,1791,-0.5004220008850098,-0.6973885893821716
