Wall time,Step,Value
1683048498.453258,127,0.6997621655464172
1683048504.0306292,255,0.3757117986679077
1683048509.665798,383,0.7623618841171265
1683048515.233022,511,-0.1286274641752243
1683048520.824395,639,0.07001476734876633
1683048526.2656581,767,-0.19113367795944214
1683048531.879162,895,-0.32932424545288086
1683048537.470455,1023,-0.371792733669281
1683048542.969037,1151,-0.5192694067955017
1683048548.409686,1279,-0.2802596390247345
1683048554.069515,1407,-0.5283586382865906
1683048559.685357,1535,-0.3573858439922333
1683048565.1571589,1663,-0.27620941400527954
1683048570.595857,1791,-0.5004220008850098
